country,year_month,retail_index
Spain,2024-04,105.9
Spain,2024-05,105.4
Spain,2024-06,105.4
Spain,2024-07,106.4
Spain,2024-08,106.9
Spain,2024-09,107.9
Spain,2024-10,108.1
Spain,2024-11,107.0
Spain,2024-12,109.4
Turkey,2015-01,76.1
Turkey,2015-02,76.2
Turkey,2015-03,77.3
Turkey,2015-04,77.4
Turkey,2015-05,77.6
Turkey,2015-06,77.1
Turkey,2015-07,78.9
Turkey,2015-08,78.3
Turkey,2015-09,78.6
Turkey,2015-10,77.7
Turkey,2015-11,78.0
Turkey,2015-12,79.4
Turkey,2016-01,76.9
Turkey,2016-02,80.1
Turkey,2016-03,78.9
Turkey,2016-04,79.6
Turkey,2016-05,79.6
Turkey,2016-06,78.8
Turkey,2016-07,77.4
Turkey,2016-08,78.4
Turkey,2016-09,79.8
Turkey,2016-10,81.6
Turkey,2016-11,82.5
Turkey,2016-12,80.1
Turkey,2017-01,80.0
Turkey,2017-02,81.1
Turkey,2017-03,81.6
Turkey,2017-04,81.8
Turkey,2017-05,83.0
Turkey,2017-06,82.5
Turkey,2017-07,84.4
Turkey,2017-08,85.4
Turkey,2017-09,85.4
Turkey,2017-10,85.1
Turkey,2017-11,84.8
Turkey,2017-12,86.7
Turkey,2018-01,87.2
Turkey,2018-02,86.4
Turkey,2018-03,86.0
Turkey,2018-04,87.0
Turkey,2018-05,85.8
Turkey,2018-06,85.0
Turkey,2018-07,85.1
Turkey,2018-08,86.1
Turkey,2018-09,81.1
Turkey,2018-10,78.3
Turkey,2018-11,78.7
Turkey,2018-12,79.2
Turkey,2019-01,80.0
Turkey,2019-02,80.5
Turkey,2019-03,81.9
Turkey,2019-04,81.5
Turkey,2019-05,82.9
Turkey,2019-06,83.4
Turkey,2019-07,81.0
Turkey,2019-08,83.1
Turkey,2019-09,84.0
Turkey,2019-10,84.7
Turkey,2019-11,85.8
Turkey,2019-12,88.3
Turkey,2020-01,88.3
Turkey,2020-02,90.1
Turkey,2020-03,84.8
Turkey,2020-04,67.8
Turkey,2020-05,73.1
Turkey,2020-06,84.7
Turkey,2020-07,91.0
Turkey,2020-08,89.6
Turkey,2020-09,91.8
Turkey,2020-10,94.8
Turkey,2020-11,95.3
Turkey,2020-12,91.0
Turkey,2021-01,94.1
Turkey,2021-02,97.0
Turkey,2021-03,101.0
Turkey,2021-04,93.4
Turkey,2021-05,92.0
Turkey,2021-06,98.3
Turkey,2021-07,102.5
Turkey,2021-08,102.0
Turkey,2021-09,103.5
Turkey,2021-10,105.1
Turkey,2021-11,107.0
Turkey,2021-12,104.1
Turkey,2022-01,102.0
Turkey,2022-02,104.7
Turkey,2022-03,104.2
Turkey,2022-04,107.2
Turkey,2022-05,110.7
Turkey,2022-06,107.2
Turkey,2022-07,109.9
Turkey,2022-08,117.0
Turkey,2022-09,119.2
Turkey,2022-10,122.4
Turkey,2022-11,124.4
Turkey,2022-12,128.3
Turkey,2023-01,133.8
Turkey,2023-02,127.1
Turkey,2023-03,133.9
Turkey,2023-04,138.8
Turkey,2023-05,142.7
Turkey,2023-06,141.4
Turkey,2023-07,147.2
Turkey,2023-08,140.2
Turkey,2023-09,140.1
Turkey,2023-10,143.1
Turkey,2023-11,144.6
Turkey,2023-12,147.7
Turkey,2024-01,151.1
Turkey,2024-02,155.2
Turkey,2024-03,156.4
Turkey,2024-04,153.6
Turkey,2024-05,152.6
Turkey,2024-06,155.6
Turkey,2024-07,158.1
Turkey,2024-08,160.5
Turkey,2024-09,164.1
Turkey,2024-10,164.7
Turkey,2024-11,167.4
Turkey,2024-12,168.4
